# x, y, z, vx, vy, 0_x, 0_y, 1_x, 1_y
-0.789474,4.473684,0.000000,0.840248,-0.991959,0.369502,-1.337037,0.000000,0.000000
-0.789474,5.000000,0.000000,0.785225,-1.036061,-0.128631,-0.962295,0.000000,0.000000
-0.263158,-5.000000,0.000000,0.710498,1.088666,0.000000,0.000000,0.000000,0.000000
-0.263158,-4.473684,0.000000,0.766092,1.050287,0.000000,0.000000,0.331807,2.168556
-0.263158,-3.947368,0.000000,0.828291,1.001965,0.000000,0.000000,2.335817,4.768609
-0.263158,-3.421053,0.000000,0.897274,0.940691,0.000000,0.000000,10.338631,11.948324
-0.263158,-2.894737,0.000000,0.972497,0.862699,0.000000,0.000000,46.446316,32.869737
-0.263158,-2.368421,0.000000,1.052090,0.763614,0.000000,0.000000,216.603563,85.895591
-0.263158,-1.842105,0.000000,1.132072,0.639073,0.000000,0.000000,755.605367,102.253524
-0.263158,-1.315789,0.000000,1.205674,0.486159,0.000000,0.000000,886.979131,-106.318247
-0.263158,-0.789474,0.000000,1.263546,0.305697,0.000000,0.000000,286.177300,-117.527974
-0.263158,-0.263158,0.000000,1.295793,0.104499,9.338451,15.515666,54.670723,-44.679427
-0.263158,0.263158,0.000000,1.295793,-0.104499,54.670723,44.679427,9.338451,-15.515666
-0.263158,0.789474,0.000000,1.263546,-0.305697,286.177300,117.527974,0.000000,0.000000
-0.263158,1.315789,0.000000,1.205674,-0.486159,886.979131,106.318247,0.000000,0.000000
-0.263158,1.842105,0.000000,1.132072,-0.639073,755.605367,-102.253524,0.000000,0.000000
-0.263158,2.368421,0.000000,1.052090,-0.763614,216.603563,-85.895591,0.000000,0.000000
-0.263158,2.894737,0.000000,0.972497,-0.862699,46.446316,-32.869737,0.000000,0.000000
-0.263158,3.421053,0.000000,0.897274,-0.940691,10.338631,-11.948324,0.000000,0.000000
-0.263158,3.947368,0.000000,0.828291,-1.001965,2.335817,-4.768609,0.000000,0.000000
-0.263158,4.473684,0.000000,0.766092,-1.050287,0.331807,-2.168556,0.000000,0.000000
-0.263158,5.000000,0.000000,0.710498,-1.088666,0.000000,0.000000,0.000000,0.000000
0.263158,-5.000000,0.000000,0.624189,1.140346,0.000000,0.000000,0.000000,0.000000
0.263158,-4.473684,0.000000,0.678413,1.108944,0.000000,0.000000,-0.000446,3.419731
0.263158,-3.947368,0.000000,0.740714,1.068337,0.000000,0.000000,3.726644,10.571079
0.263158,-3.421053,0.000000,0.812104,1.015129,0.000000,0.000000,37.022162,52.834132
0.263158,-2.894737,0.000000,0.893115,0.944641,0.000000,0.000000,1003.725259,859.593663
0.263158,-2.368421,0.000000,0.983019,0.850690,0.000000,0.000000,3.781454,3.835806
0.263158,-1.842105,0.000000,1.078464,0.725889,0.000000,0.000000,13.651835,0.458065
0.263158,-1.315789,0.000000,1.171628,0.563283,0.000000,0.000000,12.263989,-10.295674
0.263158,-0.789474,0.000000,1.249071,0.360309,0.000000,0.000000,0.000000,0.000000
0.263158,-0.263158,0.000000,1.294032,0.124426,45.680972,78.413968,4103.179197,-3264.016750
0.263158,0.263158,0.000000,1.294032,-0.124426,4103.179197,3264.016750,45.680972,-78.413968
0.263158,0.789474,0.000000,1.249071,-0.360309,0.000000,0.000000,0.000000,0.000000
0.263158,1.315789,0.000000,1.171628,-0.563283,12.263989,10.295674,0.000000,0.000000
0.263158,1.842105,0.000000,1.078464,-0.725889,13.651835,-0.458065,0.000000,0.000000
0.263158,2.368421,0.000000,0.983019,-0.850690,3.781454,-3.835806,0.000000,0.000000
0.263158,2.894737,0.000000,0.893115,-0.944641,1003.725259,-859.593663,0.000000,0.000000
0.263158,3.421053,0.000000,0.812104,-1.015129,37.022162,-52.834132,0.000000,0.000000
0.263158,3.947368,0.000000,0.740714,-1.068337,3.726644,-10.571079,0.000000,0.000000
0.263158,4.473684,0.000000,0.678413,-1.108944,-0.000446,-3.419731,0.000000,0.000000
0.263158,5.000000,0.000000,0.624189,-1.140346,0.000000,0.000000,0.000000,0.000000
0.789474,-5.000000,0.000000,0.525657,1.188985,0.000000,0.000000,0.000000,0.000000
